epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,963.104,1.28157,1.37714,1.5059,0.78954,0.72216,0.79586,0.46989,1.4222,1.06119,1.545,0.00999607,0.00333202,0.00999607,0.00333202,0.00999607,0.00333202,0.00999607,0.00333202
2,1788.52,1.33068,1.32254,1.52779,0.79561,0.62783,0.73471,0.4225,1.46968,1.21987,1.59983,0.0196001,0.00653338,0.0196001,0.00653338,0.0196001,0.00653338,0.0196001,0.00653338
3,2575.7,1.41374,1.53433,1.62371,0.72089,0.58203,0.65821,0.37069,1.59106,1.38746,1.75839,0.0288082,0.00960274,0.0288082,0.00960274,0.0288082,0.00960274,0.0288082,0.00960274
4,3358.73,1.44578,1.56412,1.65611,0.77926,0.61776,0.72396,0.41353,1.51198,1.27154,1.66547,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4140.78,1.35489,1.38955,1.58133,0.76941,0.67881,0.74857,0.45984,1.4071,1.10688,1.57632,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4921.04,1.29803,1.27439,1.52962,0.84627,0.73129,0.81615,0.50445,1.37409,1.00381,1.54702,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,5712.08,1.24891,1.17912,1.49436,0.87427,0.78389,0.86697,0.55937,1.30833,0.89367,1.4755,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,6502.04,1.20227,1.09868,1.451,0.8802,0.77905,0.86379,0.55182,1.31967,0.8734,1.46452,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,7290.11,1.19189,1.05875,1.43587,0.87309,0.81859,0.88586,0.58053,1.24418,0.81224,1.41603,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,8081.43,1.14834,1.0076,1.41466,0.89,0.82227,0.89995,0.5947,1.21983,0.775,1.37492,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,8870.98,1.13128,0.96498,1.39658,0.89836,0.84307,0.90911,0.60395,1.19438,0.74223,1.35355,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,9658.6,1.12247,0.93996,1.38075,0.91131,0.8453,0.91683,0.6219,1.17331,0.70687,1.33164,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,10444.3,1.10005,0.90778,1.36801,0.91894,0.86576,0.92661,0.63964,1.14138,0.67099,1.30878,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,11237.6,1.0805,0.88209,1.35461,0.92252,0.87444,0.93314,0.65417,1.10421,0.65416,1.27455,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
