clip,true,pred,det_frames,total_frames,category
PAH1_C1_P1_V1_HB_3,1,0,0,150,POS
PAH1_C1_P1_V1_HB_4,1,1,7,175,POS
PAH1_C1_P2_V1_HB_1,1,1,75,275,POS
PAH1_C1_P2_V1_HB_3,1,1,26,225,POS
PAH1_C1_P4_V1_HB_1,1,1,87,150,POS
PAH1_C1_P4_V1_HB_2,1,1,67,150,POS
PAH1_C2_P3_V1_HB_1,1,1,258,270,POS
PAH1_C2_P3_V1_HB_3,1,1,269,270,POS
PAH1_C2_P3_V2_HB_2,1,1,329,330,POS
PAH1_C2_P3_V2_HB_3,1,1,283,300,POS
PAH1_C2_P5_V1_HB_1,1,1,123,240,POS
PAH1_C2_P5_V1_HB_4,1,1,144,270,POS
PAH1_C2_P5_V2_HB_3,1,1,138,270,POS
PAH1_C2_P5_V2_HB_4,1,1,132,270,POS
PAH2_C1_P1_V1_HB_1,1,0,2,175,POS
PAH2_C1_P1_V1_HB_4,1,1,14,200,POS
PAH2_C1_P2_V1_HB_3,1,1,97,275,POS
PAH2_C1_P2_V1_HB_4,1,0,0,250,POS
PAH2_C1_P4_V1_HB_1,1,1,77,175,POS
PAH2_C1_P4_V1_HB_3,1,1,50,150,POS
PAH2_C2_P3_V1_HB_1,1,1,234,240,POS
PAH2_C2_P3_V1_HB_4,1,1,240,240,POS
PAH2_C2_P3_V2_HB_2,1,1,298,300,POS
PAH2_C2_P3_V2_HB_4,1,1,299,300,POS
PAH2_C2_P5_V1_HB_3,1,1,176,300,POS
PAH2_C2_P5_V1_HB_4,1,1,180,330,POS
PAH2_C2_P5_V2_HB_2,1,1,171,300,POS
PAH2_C2_P5_V2_HB_4,1,1,162,300,POS
PAH3_C1_P1_V1_HB_1,1,1,24,200,POS
PAH3_C1_P1_V1_HB_4,1,1,5,200,POS
PAH3_C1_P2_V1_HB_1,1,1,40,275,POS
PAH3_C1_P2_V1_HB_2,1,0,2,250,POS
PAH3_C1_P4_V1_HB_2,1,1,64,175,POS
PAH3_C1_P4_V1_HB_4,1,1,33,150,POS
PAH3_C2_P3_V1_HB_1,1,1,266,270,POS
PAH3_C2_P3_V1_HB_2,1,1,270,270,POS
PAH3_C2_P3_V2_HB_1,1,1,262,270,POS
PAH3_C2_P3_V2_HB_3,1,1,265,270,POS
PAH3_C2_P5_V1_HB_2,1,1,145,270,POS
PAH3_C2_P5_V1_HB_4,1,1,113,270,POS
PAH3_C2_P5_V2_HB_2,1,1,149,270,POS
PAH3_C2_P5_V2_HB_4,1,1,110,270,POS
PAH4_C1_P2_V1_HB_2,1,0,0,250,POS
PAH4_C1_P2_V1_HB_3,1,1,6,275,POS
PAH4_C1_P4_V1_HB_1,1,1,47,175,POS
PAH4_C2_P3_V1_HB_1,1,1,269,270,POS
PAH4_C2_P3_V1_HB_4,1,1,239,240,POS
PAH4_C2_P3_V2_HB_3,1,1,261,270,POS
PAH4_C2_P3_V2_HB_4,1,1,300,300,POS
PAH4_C2_P5_V1_HB_1,1,1,153,270,POS
PAH4_C2_P5_V1_HB_3,1,1,147,270,POS
PAH4_C2_P5_V2_HB_1,1,1,157,270,POS
PAH4_C2_P5_V2_HB_2,1,1,175,270,POS
PAH5_C1_P1_V1_HB_2,1,1,15,200,POS
PAH5_C1_P2_V1_HB_1,1,1,95,275,POS
PAH5_C1_P4_V1_HB_2,1,1,67,175,POS
PAH5_C2_P3_V1_HB_2,1,1,300,300,POS
PAH5_C2_P3_V2_HB_1,1,1,300,300,POS
PAH5_C2_P5_V1_HB_2,1,1,204,300,POS
PAH5_C2_P5_V2_HB_1,1,1,172,270,POS
PAH6_C1_P1_V1_HB_2,1,1,9,175,POS
PAH6_C1_P2_V1_HB_2,1,0,0,250,POS
PAH6_C1_P4_V1_HB_1,1,1,71,200,POS
PAH6_C2_P3_V1_HB_1,1,1,268,270,POS
PAH6_C2_P3_V2_HB_1,1,1,317,330,POS
PAH6_C2_P5_V1_HB_1,1,1,113,270,POS
PAH6_C2_P5_V2_HB_1,1,1,125,270,POS
PAH7_C1_P1_V1_HB_2,1,1,16,200,POS
PAH7_C1_P2_V1_HB_1,1,1,88,300,POS
PAH7_C2_P3_V1_HB_2,1,1,237,240,POS
PAH7_C2_P3_V2_HB_1,1,1,270,270,POS
PAH7_C2_P5_V1_HB_2,1,1,158,300,POS
PAH7_C2_P5_V2_HB_1,1,1,208,300,POS
PAH8_C1_P1_V1_HB_1,1,1,12,200,POS
PAH8_C1_P2_V1_HB_2,1,0,0,225,POS
PAH8_C1_P4_V1_HB_2,1,1,86,175,POS
PAH8_C2_P3_V1_HB_1,1,1,240,240,POS
PAH8_C2_P3_V2_HB_1,1,1,299,300,POS
PAH8_C2_P5_V1_HB_1,1,1,195,300,POS
PAH8_C2_P5_V2_HB_2,1,1,202,330,POS
PAH9_C1_P4_V1_HB_1,1,1,81,175,POS
PAH9_C2_P3_V1_HB_2,1,1,295,300,POS
PAH9_C2_P3_V2_HB_2,1,1,295,300,POS
PAH9_C2_P5_V1_HB_2,1,1,161,300,POS
PAH9_C2_P5_V1_HB_4,1,1,73,270,POS
PAH9_C2_P5_V2_HB_1,1,1,227,330,POS
PCH1_C1_P1_V1_HB_1,1,1,6,150,POS
PCH1_C1_P2_V1_HB_2,1,0,3,225,POS
PCH1_C1_P2_V1_HB_4,1,0,1,225,POS
PCH1_C1_P4_V1_HB_2,1,1,85,125,POS
PCH1_C1_P4_V1_HB_4,1,1,66,150,POS
PCH1_C2_P3_V1_HB_1,1,1,225,240,POS
PCH1_C2_P3_V1_HB_2,1,1,263,270,POS
PCH1_C2_P3_V2_HB_2,1,1,189,210,POS
PCH1_C2_P3_V2_HB_3,1,1,256,270,POS
PCH1_C2_P5_V1_HB_2,1,1,96,300,POS
PCH1_C2_P5_V1_HB_4,1,0,2,270,POS
PCH1_C2_P5_V2_HB_2,1,1,45,270,POS
PCH1_C2_P5_V2_HB_4,1,1,44,270,POS
PCH2_C1_P1_V1_HB_1,1,0,2,200,POS
PCH2_C1_P2_V1_HB_2,1,1,14,225,POS
PCH2_C1_P4_V1_HB_2,1,1,75,150,POS
PCH2_C2_P3_V1_HB_2,1,1,222,240,POS
PCH2_C2_P3_V2_HB_1,1,1,246,270,POS
PCH2_C2_P5_V1_HB_2,1,1,105,300,POS
PCH2_C2_P5_V2_HB_2,1,1,89,270,POS
PCH3_C1_P1_V1_HB_1,1,0,1,175,POS
PCH3_C1_P2_V1_HB_1,1,1,25,250,POS
PCH3_C1_P4_V1_HB_1,1,1,43,125,POS
PCH3_C2_P3_V1_HB_1,1,1,195,210,POS
PCH3_C2_P3_V2_HB_1,1,1,281,300,POS
PCH3_C2_P5_V1_HB_1,1,1,33,240,POS
PCH3_C2_P5_V2_HB_1,1,1,35,270,POS
PCH4_C1_P1_V1_HB_1,1,0,2,225,POS
PCH4_C1_P2_V1_HB_2,1,1,30,225,POS
PCH4_C1_P4_V1_HB_2,1,1,59,150,POS
PCH4_C2_P3_V1_HB_1,1,1,282,300,POS
PCH4_C2_P3_V2_HB_1,1,1,235,270,POS
PCH4_C2_P5_V1_HB_2,1,1,143,300,POS
PCH4_C2_P5_V2_HB_2,1,1,137,300,POS
PCH5_C1_P2_V1_HB_1,1,1,56,250,POS
PCH5_C1_P4_V1_HB_2,1,1,34,125,POS
PCH5_C2_P3_V1_HB_1,1,1,253,270,POS
PCH5_C2_P3_V2_HB_1,1,1,251,270,POS
PCH5_C2_P5_V1_HB_2,1,1,92,300,POS
PCH5_C2_P5_V2_HB_2,1,1,60,330,POS
PCH6_C1_P1_V1_HB_1,1,1,10,225,POS
PCH6_C1_P2_V1_HB_2,1,1,81,225,POS
PCH6_C1_P4_V1_HB_2,1,1,66,150,POS
PCH6_C2_P3_V1_HB_2,1,1,279,300,POS
PCH6_C2_P3_V2_HB_2,1,1,248,270,POS
PCH6_C2_P5_V1_HB_1,1,1,165,300,POS
PCH6_C2_P5_V2_HB_1,1,1,122,300,POS
PCH7_C1_P1_V1_HB_2,1,0,3,175,POS
PCH7_C1_P2_V1_HB_1,1,1,13,275,POS
PCH7_C1_P4_V1_HB_2,1,1,50,150,POS
PCH7_C2_P3_V1_HB_2,1,1,279,300,POS
PCH7_C2_P3_V2_HB_2,1,1,232,240,POS
PCH7_C2_P5_V1_HB_2,1,1,77,300,POS
PCH7_C2_P5_V2_HB_2,1,1,133,300,POS
N10_C1_P1_V1_HB_1,0,0,0,175,N10
N10_C1_P2_V1_HB_1,0,0,0,250,N10
N10_C1_P4_V1_HB_2,0,1,27,150,N10
N10_C2_P3_V1_HB_2,0,1,270,270,N10
N10_C2_P3_V2_HB_2,0,1,210,210,N10
N10_C2_P5_V1_HB_1,0,1,26,270,N10
N10_C2_P5_V2_HB_1,0,1,9,270,N10
N10_C2_P5_V3_HB_1,0,1,21,270,N10
N10_C2_P5_V4_HB_2,0,1,28,300,N10
N11_C1_P1_V1_HB_1,0,0,0,200,N11
N11_C1_P2_V1_HB_2,0,1,6,225,N11
N11_C1_P4_V1_HB_2,0,1,29,150,N11
N11_C2_P3_V1_HB_2,0,1,262,270,N11
N11_C2_P3_V2_HB_2,0,1,267,270,N11
N11_C2_P5_V1_HB_2,0,1,5,300,N11
N11_C2_P5_V2_HB_1,0,1,12,270,N11
N11_C2_P5_V3_HB_1,0,1,37,450,N11
N11_C2_P5_V4_HB_1,0,1,27,240,N11
N12_C1_P1_V1_HB_1,0,0,0,225,N12
N12_C1_P2_V1_HB_1,0,0,0,200,N12
N12_C1_P2_V1_HB_2,0,0,0,200,N12
N12_C1_P4_V1_HB_1,0,1,14,150,N12
N12_C2_P3_V1_HB_2,0,1,147,240,N12
N12_C2_P5_V1_HB_1,0,1,5,270,N12
N12_C2_P5_V2_HB_2,0,0,2,240,N12
N12_C2_P5_V2_HB_3,0,1,63,270,N12
N12_C2_P5_V3_HB_1,0,1,11,270,N12
N12_C2_P5_V4_HB_2,0,1,40,270,N12
N1_C1_P1_V1_HB_1,0,0,0,175,N1
N1_C1_P2_V1_HB_1,0,0,0,200,N1
N1_C1_P4_V1_HB_1,0,1,21,150,N1
N1_C2_P3_V1_HB_2,0,1,235,240,N1
N1_C2_P3_V2_HB_1,0,1,267,270,N1
N1_C2_P5_V1_HB_1,0,1,142,240,N1
N1_C2_P5_V2_HB_1,0,1,93,240,N1
N1_C2_P5_V3_HB_2,0,1,26,360,N1
N1_C2_P5_V4_HB_2,0,1,12,270,N1
N2_C1_P1_V1_HB_1,0,0,0,125,N2
N2_C1_P2_V1_HB_1,0,0,3,250,N2
N2_C1_P4_V1_HB_2,0,1,9,125,N2
N2_C2_P3_V1_HB_2,0,1,208,210,N2
N2_C2_P3_V2_HB_1,0,1,204,210,N2
N2_C2_P5_V1_HB_1,0,1,6,210,N2
N2_C2_P5_V2_HB_1,0,1,11,240,N2
N2_C2_P5_V3_HB_2,0,1,13,240,N2
N2_C2_P5_V4_HB_2,0,1,15,240,N2
N3_C1_P1_V1_HB_1,0,0,0,125,N3
N3_C1_P2_V1_HB_2,0,0,0,175,N3
N3_C2_P3_V1_HB_1,0,1,209,210,N3
N3_C2_P3_V2_HB_1,0,1,210,210,N3
N3_C2_P5_V1_HB_1,0,1,7,210,N3
N3_C2_P5_V2_HB_1,0,1,5,180,N3
N3_C2_P5_V3_HB_1,0,1,7,180,N3
N3_C2_P5_V4_HB_1,0,1,5,210,N3
N4_C1_P1_V1_HB_1,0,0,0,200,N4
N4_C1_P2_V1_HB_1,0,0,0,250,N4
N4_C1_P4_V1_HB_1,0,1,48,150,N4
N4_C2_P3_V1_HB_2,0,1,237,240,N4
N4_C2_P3_V2_HB_1,0,1,210,210,N4
N4_C2_P5_V1_HB_1,0,1,26,270,N4
N4_C2_P5_V2_HB_1,0,1,6,270,N4
N5_C1_P1_V1_HB_2,0,1,6,200,N5
N5_C1_P2_V1_HB_1,0,0,0,250,N5
N5_C1_P4_V1_HB_2,0,1,12,150,N5
N5_C1_P4_V1_HB_4,0,1,55,175,N5
N5_C2_P5_V1_HB_1,0,1,33,300,N5
N5_C2_P5_V1_HB_3,0,1,39,270,N5
N5_C2_P5_V2_HB_1,0,1,9,270,N5
