clip,true,pred,det_frames,total_frames,category
PAH1_C1_P1_V1_HB_3,1,0,0,150,POS
PAH1_C1_P1_V1_HB_4,1,1,34,175,POS
PAH1_C1_P2_V1_HB_1,1,1,130,275,POS
PAH1_C1_P2_V1_HB_3,1,1,76,225,POS
PAH1_C1_P4_V1_HB_1,1,1,148,150,POS
PAH1_C1_P4_V1_HB_2,1,1,142,150,POS
PAH1_C2_P3_V1_HB_1,1,1,39,270,POS
PAH1_C2_P3_V1_HB_3,1,1,36,270,POS
PAH1_C2_P3_V2_HB_2,1,1,14,330,POS
PAH1_C2_P3_V2_HB_3,1,1,43,300,POS
PAH1_C2_P5_V1_HB_1,1,1,33,240,POS
PAH1_C2_P5_V1_HB_4,1,1,87,270,POS
PAH1_C2_P5_V2_HB_3,1,1,65,270,POS
PAH1_C2_P5_V2_HB_4,1,1,76,270,POS
PAH2_C1_P1_V1_HB_1,1,0,2,175,POS
PAH2_C1_P1_V1_HB_4,1,1,36,200,POS
PAH2_C1_P2_V1_HB_3,1,1,143,275,POS
PAH2_C1_P2_V1_HB_4,1,0,0,250,POS
PAH2_C1_P4_V1_HB_1,1,1,161,175,POS
PAH2_C1_P4_V1_HB_3,1,1,131,150,POS
PAH2_C2_P3_V1_HB_1,1,1,59,240,POS
PAH2_C2_P3_V1_HB_4,1,1,35,240,POS
PAH2_C2_P3_V2_HB_2,1,1,30,300,POS
PAH2_C2_P3_V2_HB_4,1,1,53,300,POS
PAH2_C2_P5_V1_HB_3,1,1,62,300,POS
PAH2_C2_P5_V1_HB_4,1,1,79,330,POS
PAH2_C2_P5_V2_HB_2,1,1,91,300,POS
PAH2_C2_P5_V2_HB_4,1,1,118,300,POS
PAH3_C1_P1_V1_HB_1,1,1,46,200,POS
PAH3_C1_P1_V1_HB_4,1,1,38,200,POS
PAH3_C1_P2_V1_HB_1,1,1,105,275,POS
PAH3_C1_P2_V1_HB_2,1,0,0,250,POS
PAH3_C1_P4_V1_HB_2,1,1,173,175,POS
PAH3_C1_P4_V1_HB_4,1,1,143,150,POS
PAH3_C2_P3_V1_HB_1,1,1,42,270,POS
PAH3_C2_P3_V1_HB_2,1,1,26,270,POS
PAH3_C2_P3_V2_HB_1,1,1,56,270,POS
PAH3_C2_P3_V2_HB_3,1,1,81,270,POS
PAH3_C2_P5_V1_HB_2,1,1,107,270,POS
PAH3_C2_P5_V1_HB_4,1,1,36,270,POS
PAH3_C2_P5_V2_HB_2,1,1,103,270,POS
PAH3_C2_P5_V2_HB_4,1,1,68,270,POS
PAH4_C1_P2_V1_HB_2,1,0,0,250,POS
PAH4_C1_P2_V1_HB_3,1,1,14,275,POS
PAH4_C1_P4_V1_HB_1,1,1,168,175,POS
PAH4_C2_P3_V1_HB_1,1,1,18,270,POS
PAH4_C2_P3_V1_HB_4,1,1,16,240,POS
PAH4_C2_P3_V2_HB_3,1,1,38,270,POS
PAH4_C2_P3_V2_HB_4,1,1,18,300,POS
PAH4_C2_P5_V1_HB_1,1,1,69,270,POS
PAH4_C2_P5_V1_HB_3,1,1,54,270,POS
PAH4_C2_P5_V2_HB_1,1,1,67,270,POS
PAH4_C2_P5_V2_HB_2,1,1,121,270,POS
PAH5_C1_P1_V1_HB_2,1,1,36,200,POS
PAH5_C1_P2_V1_HB_1,1,1,122,275,POS
PAH5_C1_P4_V1_HB_2,1,1,175,175,POS
PAH5_C2_P3_V1_HB_2,1,1,13,300,POS
PAH5_C2_P3_V2_HB_1,1,1,15,300,POS
PAH5_C2_P5_V1_HB_2,1,1,70,300,POS
PAH5_C2_P5_V2_HB_1,1,1,105,270,POS
PAH6_C1_P1_V1_HB_2,1,1,27,175,POS
PAH6_C1_P2_V1_HB_2,1,0,0,250,POS
PAH6_C1_P4_V1_HB_1,1,1,191,200,POS
PAH6_C2_P3_V1_HB_1,1,1,74,270,POS
PAH6_C2_P3_V2_HB_1,1,1,42,330,POS
PAH6_C2_P5_V1_HB_1,1,1,32,270,POS
PAH6_C2_P5_V2_HB_1,1,1,33,270,POS
PAH7_C1_P1_V1_HB_2,1,1,41,200,POS
PAH7_C1_P2_V1_HB_1,1,1,122,300,POS
PAH7_C2_P3_V1_HB_2,1,1,9,240,POS
PAH7_C2_P3_V2_HB_1,1,1,27,270,POS
PAH7_C2_P5_V1_HB_2,1,1,93,300,POS
PAH7_C2_P5_V2_HB_1,1,1,114,300,POS
PAH8_C1_P1_V1_HB_1,1,1,10,200,POS
PAH8_C1_P2_V1_HB_2,1,0,0,225,POS
PAH8_C1_P4_V1_HB_2,1,1,173,175,POS
PAH8_C2_P3_V1_HB_1,1,1,39,240,POS
PAH8_C2_P3_V2_HB_1,1,1,63,300,POS
PAH8_C2_P5_V1_HB_1,1,1,60,300,POS
PAH8_C2_P5_V2_HB_2,1,1,113,330,POS
PAH9_C1_P4_V1_HB_1,1,1,160,175,POS
PAH9_C2_P3_V1_HB_2,1,1,51,300,POS
PAH9_C2_P3_V2_HB_2,1,1,63,300,POS
PAH9_C2_P5_V1_HB_2,1,1,86,300,POS
PAH9_C2_P5_V1_HB_4,1,1,52,270,POS
PAH9_C2_P5_V2_HB_1,1,1,113,330,POS
PCH1_C1_P1_V1_HB_1,1,1,16,150,POS
PCH1_C1_P2_V1_HB_2,1,1,35,225,POS
PCH1_C1_P2_V1_HB_4,1,1,9,225,POS
PCH1_C1_P4_V1_HB_2,1,1,124,125,POS
PCH1_C1_P4_V1_HB_4,1,1,142,150,POS
PCH1_C2_P3_V1_HB_1,1,1,5,240,POS
PCH1_C2_P3_V1_HB_2,1,1,11,270,POS
PCH1_C2_P3_V2_HB_2,1,1,28,210,POS
PCH1_C2_P3_V2_HB_3,1,1,8,270,POS
PCH1_C2_P5_V1_HB_2,1,1,81,300,POS
PCH1_C2_P5_V1_HB_4,1,0,4,270,POS
PCH1_C2_P5_V2_HB_2,1,1,34,270,POS
PCH1_C2_P5_V2_HB_4,1,1,14,270,POS
PCH2_C1_P1_V1_HB_1,1,0,3,200,POS
PCH2_C1_P2_V1_HB_2,1,1,30,225,POS
PCH2_C1_P4_V1_HB_2,1,1,143,150,POS
PCH2_C2_P3_V1_HB_2,1,1,64,240,POS
PCH2_C2_P3_V2_HB_1,1,1,10,270,POS
PCH2_C2_P5_V1_HB_2,1,1,104,300,POS
PCH2_C2_P5_V2_HB_2,1,1,87,270,POS
PCH3_C1_P1_V1_HB_1,1,0,1,175,POS
PCH3_C1_P2_V1_HB_1,1,1,47,250,POS
PCH3_C1_P4_V1_HB_1,1,1,118,125,POS
PCH3_C2_P3_V1_HB_1,1,1,5,210,POS
PCH3_C2_P3_V2_HB_1,1,1,6,300,POS
PCH3_C2_P5_V1_HB_1,1,1,33,240,POS
PCH3_C2_P5_V2_HB_1,1,1,25,270,POS
PCH4_C1_P1_V1_HB_1,1,1,9,225,POS
PCH4_C1_P2_V1_HB_2,1,1,85,225,POS
PCH4_C1_P4_V1_HB_2,1,1,145,150,POS
PCH4_C2_P3_V1_HB_1,1,1,12,300,POS
PCH4_C2_P3_V2_HB_1,1,1,13,270,POS
PCH4_C2_P5_V1_HB_2,1,1,139,300,POS
PCH4_C2_P5_V2_HB_2,1,1,131,300,POS
PCH5_C1_P2_V1_HB_1,1,1,90,250,POS
PCH5_C1_P4_V1_HB_2,1,1,120,125,POS
PCH5_C2_P3_V1_HB_1,1,1,29,270,POS
PCH5_C2_P3_V2_HB_1,1,0,1,270,POS
PCH5_C2_P5_V1_HB_2,1,1,110,300,POS
PCH5_C2_P5_V2_HB_2,1,1,33,330,POS
PCH6_C1_P1_V1_HB_1,1,1,12,225,POS
PCH6_C1_P2_V1_HB_2,1,1,105,225,POS
PCH6_C1_P4_V1_HB_2,1,1,150,150,POS
PCH6_C2_P3_V1_HB_2,1,1,10,300,POS
PCH6_C2_P3_V2_HB_2,1,1,12,270,POS
PCH6_C2_P5_V1_HB_1,1,1,150,300,POS
PCH6_C2_P5_V2_HB_1,1,1,116,300,POS
PCH7_C1_P1_V1_HB_2,1,1,13,175,POS
PCH7_C1_P2_V1_HB_1,1,1,45,275,POS
