clip,true,pred,det_frames,total_frames,no_person,no_mask,category
PAH1_C1_P1_V1_HB_3,1,0,3,150,44,0,POS
PAH1_C1_P1_V1_HB_4,1,1,29,175,49,0,POS
PAH1_C1_P2_V1_HB_1,1,1,78,275,127,0,POS
PAH1_C1_P2_V1_HB_3,1,1,31,225,85,0,POS
PAH1_C1_P4_V1_HB_1,1,1,13,150,55,0,POS
PAH1_C1_P4_V1_HB_2,1,1,25,150,55,0,POS
PAH1_C2_P3_V1_HB_1,1,1,31,270,122,0,POS
PAH1_C2_P3_V1_HB_3,1,1,15,270,102,0,POS
PAH1_C2_P3_V2_HB_2,1,1,45,330,120,0,POS
PAH1_C2_P3_V2_HB_3,1,1,37,300,108,0,POS
PAH1_C2_P5_V1_HB_1,1,1,44,240,62,0,POS
PAH1_C2_P5_V1_HB_4,1,1,97,270,85,0,POS
PAH1_C2_P5_V2_HB_3,1,1,66,270,76,0,POS
PAH1_C2_P5_V2_HB_4,1,1,130,270,65,0,POS
PAH2_C1_P1_V1_HB_1,1,1,9,175,42,0,POS
PAH2_C1_P1_V1_HB_4,1,1,27,200,62,0,POS
PAH2_C1_P2_V1_HB_3,1,1,62,275,98,0,POS
PAH2_C1_P2_V1_HB_4,1,0,0,250,124,0,POS
PAH2_C1_P4_V1_HB_1,1,1,16,175,51,0,POS
PAH2_C1_P4_V1_HB_3,1,1,5,150,49,0,POS
PAH2_C2_P3_V1_HB_1,1,1,20,240,88,0,POS
PAH2_C2_P3_V1_HB_4,1,1,19,240,69,0,POS
PAH2_C2_P3_V2_HB_2,1,1,22,300,105,0,POS
PAH2_C2_P3_V2_HB_4,1,1,8,300,95,0,POS
PAH2_C2_P5_V1_HB_3,1,1,64,300,101,0,POS
PAH2_C2_P5_V1_HB_4,1,1,88,330,111,0,POS
PAH2_C2_P5_V2_HB_2,1,1,153,300,76,0,POS
PAH2_C2_P5_V2_HB_4,1,1,127,300,68,0,POS
PAH3_C1_P1_V1_HB_1,1,1,13,200,71,0,POS
PAH3_C1_P1_V1_HB_4,1,1,6,200,82,0,POS
PAH3_C1_P2_V1_HB_1,1,0,2,275,107,0,POS
PAH3_C1_P2_V1_HB_2,1,1,7,250,114,0,POS
PAH3_C1_P4_V1_HB_2,1,1,47,175,71,0,POS
PAH3_C1_P4_V1_HB_4,1,0,1,150,47,0,POS
PAH3_C2_P3_V1_HB_1,1,1,34,270,96,0,POS
PAH3_C2_P3_V1_HB_2,1,1,64,270,106,0,POS
PAH3_C2_P3_V2_HB_1,1,1,53,270,82,0,POS
PAH3_C2_P3_V2_HB_3,1,1,95,270,62,0,POS
PAH3_C2_P5_V1_HB_2,1,1,134,270,84,0,POS
PAH3_C2_P5_V1_HB_4,1,1,8,270,81,0,POS
PAH3_C2_P5_V2_HB_2,1,1,114,270,58,0,POS
PAH3_C2_P5_V2_HB_4,1,1,38,270,67,0,POS
PAH4_C1_P2_V1_HB_2,1,1,17,250,103,0,POS
PAH4_C1_P2_V1_HB_3,1,1,5,275,99,0,POS
PAH4_C1_P4_V1_HB_1,1,1,20,175,64,0,POS
PAH4_C2_P3_V1_HB_1,1,1,35,270,118,0,POS
PAH4_C2_P3_V1_HB_4,1,1,31,240,106,0,POS
PAH4_C2_P3_V2_HB_3,1,1,72,270,91,0,POS
PAH4_C2_P3_V2_HB_4,1,1,16,300,91,0,POS
PAH4_C2_P5_V1_HB_1,1,1,33,270,98,0,POS
